"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 25, 2021","41.27","39.40","41.41","39.25","46.62M","6.15%"
"Oct 22, 2021","38.88","39.96","40.39","38.54","28.02M","-2.73%"
"Oct 21, 2021","39.97","39.51","40.60","39.37","25.19M","0.48%"
"Oct 20, 2021","39.78","39.97","40.34","39.16","24.92M","-0.62%"
"Oct 19, 2021","40.03","40.27","40.90","39.56","37.82M","1.06%"
"Oct 18, 2021","39.61","37.49","39.84","37.27","43.17M","5.04%"
"Oct 15, 2021","37.71","36.99","38.29","36.94","48.17M","3.94%"
"Oct 14, 2021","36.28","36.21","36.45","35.60","29.71M","0.11%"
"Oct 13, 2021","36.24","35.78","36.68","35.47","33.18M","2.06%"
"Oct 12, 2021","35.51","35.70","36.04","35.18","26.59M","-0.36%"
"Oct 11, 2021","35.64","36.09","36.52","35.53","25.22M","-0.53%"
"Oct 08, 2021","35.83","36.44","36.55","35.83","31.96M","-0.44%"
"Oct 07, 2021","35.99","35.44","36.64","34.91","67.33M","6.92%"
"Oct 06, 2021","33.66","33.41","34.16","33.17","22.76M","-0.62%"
"Oct 05, 2021","33.87","33.30","34.31","33.27","26.28M","1.41%"
"Oct 04, 2021","33.40","35.02","35.02","33.28","40.49M","-5.60%"
"Oct 01, 2021","35.38","36.58","36.58","35.26","34.92M","-0.70%"
"Sep 30, 2021","35.63","35.63","35.98","35.29","25.64M","1.42%"
"Sep 29, 2021","35.13","35.44","36.36","35.02","33.42M","0.23%"
"Sep 28, 2021","35.05","36.28","37.03","34.93","37.19M","-4.68%"
"Sep 27, 2021","36.77","35.43","36.86","34.42","35.89M","3.93%"
"Sep 24, 2021","35.38","35.59","36.07","35.20","23.76M","-1.75%"
"Sep 23, 2021","36.01","36.20","36.50","35.57","27.02M","0.87%"
"Sep 22, 2021","35.70","35.21","35.83","35.12","26.61M","2.29%"
"Sep 21, 2021","34.90","35.52","35.82","34.88","31.51M","-0.77%"
"Sep 20, 2021","35.17","36.11","36.31","34.54","57.27M","-6.24%"
"Sep 17, 2021","37.51","37.30","37.57","36.97","29.62M","1.13%"
"Sep 16, 2021","37.09","37.54","37.67","36.74","32.86M","-2.47%"
"Sep 15, 2021","38.03","38.00","38.15","36.95","26.93M","0.37%"
"Sep 14, 2021","37.89","38.49","39.40","37.69","30.69M","-1.30%"
"Sep 13, 2021","38.39","38.01","38.39","36.56","38.23M","1.08%"
"Sep 10, 2021","37.98","38.62","39.52","37.90","29.27M","-1.22%"
"Sep 09, 2021","38.45","37.98","38.85","37.55","33.61M","0.81%"
"Sep 08, 2021","38.14","39.17","39.43","37.81","51.41M","-6.04%"
"Sep 07, 2021","40.59","40.85","41.86","40.59","33.03M","0.54%"
"Sep 03, 2021","40.37","40.11","40.97","39.83","30.39M","0.05%"
"Sep 02, 2021","40.35","39.06","41.02","38.90","43.76M","3.25%"
"Sep 01, 2021","39.08","37.49","39.93","37.20","56.91M","-0.59%"
"Aug 31, 2021","39.31","38.24","39.39","37.90","44.00M","3.99%"
"Aug 30, 2021","37.80","38.17","38.28","36.64","38.01M","-0.66%"
"Aug 27, 2021","38.05","38.23","38.47","37.83","23.50M","-0.55%"
"Aug 26, 2021","38.26","38.63","39.74","37.81","34.31M","-1.77%"
"Aug 25, 2021","38.95","38.66","39.14","38.18","25.55M","0.03%"
"Aug 24, 2021","38.94","39.24","39.61","38.63","37.69M","2.02%"
"Aug 23, 2021","38.17","37.44","38.38","37.04","39.32M","3.39%"
"Aug 20, 2021","36.92","36.63","37.90","36.60","43.49M","1.74%"
"Aug 19, 2021","36.29","37.89","38.15","36.24","56.16M","-6.61%"
"Aug 18, 2021","38.86","38.49","39.63","37.95","48.28M","1.99%"
"Aug 17, 2021","38.10","37.46","39.02","36.83","60.84M","-1.35%"
"Aug 16, 2021","38.62","39.46","39.60","38.07","66.59M","-5.87%"
"Aug 13, 2021","41.03","41.90","42.28","40.61","39.16M","-3.39%"
"Aug 12, 2021","42.47","44.35","44.40","41.55","50.76M","-3.41%"
"Aug 11, 2021","43.97","44.71","45.12","43.15","32.64M","-0.57%"
"Aug 10, 2021","44.22","45.60","46.38","44.10","29.57M","-2.19%"
"Aug 09, 2021","45.21","43.72","45.47","43.72","30.55M","3.12%"
"Aug 06, 2021","43.84","45.55","45.80","43.45","38.02M","-3.86%"
"Aug 05, 2021","45.60","44.57","46.29","44.04","33.36M","1.13%"
"Aug 04, 2021","45.09","45.06","45.77","44.57","35.45M","1.17%"
"Aug 03, 2021","44.57","44.98","45.76","43.77","46.03M","-2.79%"
"Aug 02, 2021","45.85","44.53","46.76","44.37","68.45M","2.62%"
"Jul 30, 2021","44.68","41.85","45.17","41.78","66.26M","4.83%"
"Jul 29, 2021","42.62","42.10","43.30","41.66","46.85M","1.86%"
"Jul 28, 2021","41.84","41.01","41.99","39.85","59.21M","6.30%"
"Jul 27, 2021","39.36","42.15","43.20","38.66","102.71M","-8.83%"
"Jul 26, 2021","43.17","42.74","44.87","41.99","54.76M","-1.86%"
"Jul 23, 2021","43.99","43.67","44.50","42.49","49.56M","-4.51%"
"Jul 22, 2021","46.07","46.96","47.38","45.47","38.94M","-1.50%"
"Jul 21, 2021","46.77","44.10","47.38","44.00","59.66M","5.89%"
"Jul 20, 2021","44.17","43.38","44.40","42.45","37.93M","1.89%"
"Jul 19, 2021","43.35","41.49","43.67","40.48","65.29M","1.29%"
"Jul 16, 2021","42.80","43.85","44.40","42.40","49.93M","-2.01%"
"Jul 15, 2021","43.68","43.26","44.77","42.68","55.35M","1.46%"
"Jul 14, 2021","43.05","44.84","45.17","42.68","56.50M","-4.25%"
"Jul 13, 2021","44.96","46.21","46.88","44.95","44.69M","-2.98%"
"Jul 12, 2021","46.34","45.97","46.82","44.60","54.49M","1.78%"
"Jul 09, 2021","45.53","46.71","47.01","44.58","64.62M","-0.15%"
"Jul 08, 2021","45.60","43.73","46.25","42.86","93.77M","-0.96%"
"Jul 07, 2021","46.04","50.30","50.50","45.76","85.81M","-8.45%"
"Jul 06, 2021","50.29","49.34","51.73","49.25","67.71M","-0.22%"
"Jul 02, 2021","50.40","51.26","51.47","48.53","78.73M","-0.98%"
"Jul 01, 2021","50.90","54.70","55.11","50.29","124.53M","-4.32%"
"Jun 30, 2021","53.20","50.58","53.84","50.55","91.64M","5.68%"
"Jun 29, 2021","50.34","49.15","50.61","48.55","64.80M","1.90%"
"Jun 28, 2021","49.40","45.61","49.64","45.59","90.20M","9.61%"
"Jun 25, 2021","45.07","45.78","45.94","44.88","32.61M","-0.86%"
"Jun 24, 2021","45.46","45.91","46.57","45.25","37.68M","0.11%"
"Jun 23, 2021","45.41","44.96","45.96","44.63","39.49M","2.97%"
"Jun 22, 2021","44.10","45.93","46.53","43.82","61.39M","-5.18%"
"Jun 21, 2021","46.51","46.55","46.99","45.07","44.48M","-0.85%"
"Jun 18, 2021","46.91","47.73","48.36","46.59","90.78M","-0.95%"
"Jun 17, 2021","47.36","45.04","47.75","44.89","64.90M","5.20%"
"Jun 16, 2021","45.02","44.23","45.13","43.77","47.22M","-0.29%"
"Jun 15, 2021","45.15","46.13","46.37","45.05","44.76M","-3.01%"
"Jun 14, 2021","46.55","45.95","47.24","45.66","65.29M","1.90%"
"Jun 11, 2021","45.68","42.93","46.26","42.76","85.73M","6.83%"
"Jun 10, 2021","42.76","42.52","43.38","42.17","34.76M","0.05%"
"Jun 09, 2021","42.74","43.51","44.42","42.73","36.36M","-1.88%"
"Jun 08, 2021","43.56","44.47","44.86","42.87","50.33M","-0.27%"
"Jun 07, 2021","43.68","41.67","43.90","41.49","53.26M","4.15%"
"Jun 04, 2021","41.94","41.43","42.33","41.15","40.99M","2.54%"
"Jun 03, 2021","40.90","41.19","42.37","40.32","62.44M","-0.63%"
"Jun 02, 2021","41.16","42.15","42.73","40.96","66.38M","-2.79%"
"Jun 01, 2021","42.34","39.99","42.44","39.94","100.33M","9.63%"
"May 28, 2021","38.62","38.74","39.76","38.17","58.24M","-0.75%"
"May 27, 2021","38.91","37.92","38.97","37.25","53.06M","3.05%"
"May 26, 2021","37.76","36.25","38.07","36.09","55.93M","4.69%"
"May 25, 2021","36.07","36.27","37.59","35.70","76.63M","0.50%"
"May 24, 2021","35.89","34.11","36.48","33.57","67.24M","5.37%"
"May 21, 2021","34.06","34.66","34.78","33.87","49.57M","-0.79%"
"May 20, 2021","34.33","33.90","34.51","33.65","48.99M","2.60%"
"May 19, 2021","33.46","32.93","33.46","32.61","68.80M","-2.14%"
"May 18, 2021","34.19","34.00","34.77","33.28","64.93M","1.12%"
"May 17, 2021","33.81","33.34","34.15","32.84","64.02M","1.17%"
"May 14, 2021","33.42","31.94","33.69","31.56","80.21M","7.05%"
"May 13, 2021","31.22","33.74","34.26","30.73","113.69M","-7.30%"
"May 12, 2021","33.68","34.35","35.11","33.50","75.99M","-3.41%"
"May 11, 2021","34.87","32.50","35.45","32.25","113.42M","1.57%"
"May 10, 2021","34.33","36.76","36.76","34.33","92.29M","-7.07%"
"May 07, 2021","36.94","37.17","38.04","36.62","55.55M","0.71%"
"May 06, 2021","36.68","37.33","37.98","35.77","71.66M","-2.73%"
"May 05, 2021","37.71","38.34","38.55","37.46","24.24M","-0.58%"
"May 04, 2021","37.93","38.99","39.32","36.92","78.26M","-4.07%"
"May 03, 2021","39.54","40.37","41.44","39.33","80.09M","-0.75%"
"Apr 30, 2021","39.84","37.73","41.22","37.35","116.73M","2.18%"
"Apr 29, 2021","38.99","41.38","41.49","38.73","82.66M","-5.34%"
"Apr 28, 2021","41.19","40.74","41.95","40.44","57.64M","-0.05%"
"Apr 27, 2021","41.21","43.02","43.13","41.02","70.00M","-3.31%"
"Apr 26, 2021","42.62","41.96","43.22","40.86","88.23M","3.75%"
"Apr 23, 2021","41.08","40.14","41.20","39.54","70.58M","3.82%"
"Apr 22, 2021","39.57","38.99","40.44","38.51","115.80M","1.72%"
"Apr 21, 2021","38.90","36.53","38.96","36.16","76.91M","5.33%"
"Apr 20, 2021","36.93","37.10","37.80","35.94","71.21M","0.41%"
"Apr 19, 2021","36.78","36.78","37.54","35.36","90.83M","1.91%"
"Apr 16, 2021","36.09","34.69","36.54","34.06","84.48M","1.21%"
"Apr 15, 2021","35.66","37.02","37.06","34.56","99.51M","-3.67%"
"Apr 14, 2021","37.02","39.23","39.30","36.81","78.45M","-3.79%"
"Apr 13, 2021","38.48","37.48","38.66","37.33","61.43M","3.61%"
"Apr 12, 2021","37.14","37.94","37.98","36.77","53.43M","-2.57%"
"Apr 09, 2021","38.12","38.35","38.36","37.01","69.27M","-1.50%"
"Apr 08, 2021","38.70","37.53","39.18","37.50","63.69M","3.84%"
"Apr 07, 2021","37.27","39.70","39.85","36.95","79.55M","-6.82%"
"Apr 06, 2021","40.00","38.77","40.39","38.46","67.97M","1.76%"
"Apr 05, 2021","39.31","40.51","40.63","38.73","71.42M","-0.88%"
"Apr 01, 2021","39.66","41.56","42.06","39.25","116.31M","1.74%"
"Mar 31, 2021","38.98","38.95","39.24","37.46","98.30M","3.81%"
"Mar 30, 2021","37.55","35.20","37.96","34.61","105.69M","5.74%"
"Mar 29, 2021","35.51","35.45","36.83","34.50","83.19M","-1.72%"
"Mar 26, 2021","36.13","35.65","36.65","34.00","163.04M","-4.77%"
"Mar 25, 2021","37.94","35.24","39.19","35.12","117.67M","2.65%"
"Mar 24, 2021","36.96","41.13","41.13","36.59","130.70M","-10.25%"
"Mar 23, 2021","41.18","42.58","43.11","40.98","57.74M","-4.10%"
"Mar 22, 2021","42.94","44.06","44.54","42.61","72.84M","-0.95%"
"Mar 19, 2021","43.35","41.44","43.40","40.44","97.66M","4.13%"
"Mar 18, 2021","41.63","43.30","44.26","41.45","70.76M","-6.99%"
"Mar 17, 2021","44.76","41.90","45.02","41.33","95.54M","2.47%"
"Mar 16, 2021","43.68","45.04","45.66","43.17","84.36M","-2.78%"
"Mar 15, 2021","44.93","45.50","46.28","44.43","74.44M","-1.25%"
"Mar 12, 2021","45.50","43.51","45.80","42.76","112.87M","-1.15%"
"Mar 11, 2021","46.03","44.44","46.16","42.80","133.07M","11.40%"
"Mar 10, 2021","41.32","43.58","45.24","40.40","190.80M","-0.07%"
"Mar 09, 2021","41.35","37.49","42.07","36.56","176.60M","17.44%"
"Mar 08, 2021","35.21","36.92","39.47","34.92","143.07M","-7.61%"
"Mar 05, 2021","38.11","39.24","39.87","31.91","270.80M","-2.98%"
"Mar 04, 2021","39.28","40.49","42.43","37.59","203.63M","-5.42%"
"Mar 03, 2021","41.53","44.58","45.08","41.11","106.19M","-4.07%"
"Mar 02, 2021","43.29","46.11","47.13","42.66","159.58M","-13.00%"
"Mar 01, 2021","49.76","48.52","50.41","47.66","94.24M","8.69%"
"Feb 26, 2021","45.78","47.16","47.95","44.66","100.32M","-2.20%"
"Feb 25, 2021","46.81","51.85","51.85","46.03","95.51M","-9.74%"
"Feb 24, 2021","51.86","49.31","52.07","47.75","82.49M","5.60%"
"Feb 23, 2021","49.11","45.51","49.67","41.71","142.54M","-3.10%"
"Feb 22, 2021","50.68","54.05","54.29","50.44","68.83M","-7.92%"
"Feb 19, 2021","55.04","55.72","56.04","54.10","43.02M","1.12%"
"Feb 18, 2021","54.43","55.26","56.26","52.91","62.51M","-5.04%"
"Feb 17, 2021","57.32","57.92","58.03","55.90","63.79M","-3.22%"
"Feb 16, 2021","59.23","60.40","62.14","58.65","53.07M","-1.04%"
"Feb 12, 2021","59.85","60.26","61.05","59.10","40.23M","-0.70%"
"Feb 11, 2021","60.27","61.69","63.06","59.81","55.39M","-1.62%"
"Feb 10, 2021","61.26","62.55","64.60","60.33","89.84M","-2.51%"
"Feb 09, 2021","62.84","58.95","63.10","58.24","96.46M","6.38%"
"Feb 08, 2021","59.07","57.08","59.52","56.18","63.62M","4.24%"
"Feb 05, 2021","56.67","57.74","57.98","56.01","43.06M","-1.61%"
"Feb 04, 2021","57.60","58.80","59.15","57.12","48.67M","-0.66%"
"Feb 03, 2021","57.98","55.94","58.72","54.88","80.12M","3.96%"
"Feb 02, 2021","55.77","57.06","57.54","54.51","66.23M","-2.14%"
"Feb 01, 2021","56.99","59.01","59.01","54.51","79.88M","-0.02%"
"Jan 29, 2021","57.00","59.03","60.71","56.44","78.68M","-2.35%"
"Jan 28, 2021","58.37","56.70","59.45","55.18","73.96M","2.13%"
"Jan 27, 2021","57.15","58.00","59.75","56.60","73.08M","-5.24%"
"Jan 26, 2021","60.31","60.04","60.67","58.64","69.79M","0.53%"
"Jan 25, 2021","59.99","64.01","64.50","58.45","111.99M","-3.16%"
"Jan 22, 2021","61.95","58.95","62.17","58.32","133.92M","6.19%"
"Jan 21, 2021","58.34","57.30","58.54","55.88","73.12M","1.09%"
"Jan 20, 2021","57.71","59.90","60.07","56.21","94.98M","-1.25%"
"Jan 19, 2021","58.44","58.34","59.00","56.45","99.56M","3.86%"
"Jan 15, 2021","56.27","59.84","60.22","55.67","132.25M","-7.56%"
"Jan 14, 2021","60.87","62.70","63.22","60.05","99.34M","-2.06%"
"Jan 13, 2021","62.15","62.94","64.39","61.42","116.06M","0.18%"
"Jan 12, 2021","62.04","61.25","64.12","60.47","184.85M","-1.05%"
"Jan 11, 2021","62.70","64.95","66.99","62.19","269.05M","6.42%"
"Jan 08, 2021","58.92","57.95","59.31","55.95","218.51M","8.55%"
"Jan 07, 2021","54.28","53.04","54.60","52.37","119.43M","7.49%"
"Jan 06, 2021","50.50","54.05","55.24","49.09","176.40M","-5.08%"
"Jan 05, 2021","53.20","51.91","53.68","50.59","147.47M","-0.54%"
"Jan 04, 2021","53.49","51.20","54.45","50.67","209.24M","9.75%"
"Dec 31, 2020","48.74","48.46","50.50","47.77","129.34M","0.74%"
"Dec 30, 2020","48.38","46.53","48.38","45.82","116.69M","4.85%"
"Dec 29, 2020","46.14","43.63","46.27","42.30","120.69M","4.72%"
"Dec 28, 2020","44.06","46.70","46.80","43.70","105.08M","-3.74%"
"Dec 24, 2020","45.77","46.88","47.13","45.35","60.58M","-2.64%"
"Dec 23, 2020","47.01","47.70","48.35","45.82","81.25M","-1.20%"
"Dec 22, 2020","47.58","49.61","49.84","46.53","116.43M","-2.80%"
"Dec 21, 2020","48.95","45.62","49.48","45.04","132.56M","4.77%"
"Dec 18, 2020","46.72","45.89","48.00","45.52","126.25M","1.57%"
"Dec 17, 2020","46.00","45.18","46.03","43.91","130.00M","2.98%"
"Dec 16, 2020","44.67","44.25","45.26","43.33","119.60M","2.69%"
"Dec 15, 2020","43.50","42.47","43.84","41.27","131.20M","6.15%"
"Dec 14, 2020","40.98","39.90","41.46","39.52","171.60M","-2.38%"
"Dec 11, 2020","41.98","42.48","43.63","41.26","147.08M","-7.16%"
"Dec 10, 2020","45.22","42.52","45.66","41.96","107.38M","2.75%"
"Dec 09, 2020","44.01","46.96","47.09","43.00","121.39M","-5.48%"
"Dec 08, 2020","46.56","47.15","48.28","45.70","115.80M","3.21%"
"Dec 07, 2020","45.11","42.50","46.31","42.48","165.05M","4.81%"
"Dec 04, 2020","43.04","44.66","45.16","41.65","191.97M","-5.09%"
"Dec 03, 2020","45.35","47.92","48.60","45.23","173.42M","-5.48%"
"Dec 02, 2020","47.98","40.20","48.00","38.50","313.03M","5.78%"
"Dec 01, 2020","45.36","52.08","52.08","44.06","248.18M","-10.23%"
"Nov 30, 2020","50.53","54.25","54.29","48.24","179.77M","-6.43%"
"Nov 27, 2020","54.00","54.86","55.55","52.60","105.80M","0.58%"
"Nov 25, 2020","53.69","49.98","53.99","49.25","204.51M","0.34%"
"Nov 24, 2020","53.51","56.99","56.99","51.50","243.67M","-3.38%"
"Nov 23, 2020","55.38","50.90","55.64","50.53","270.20M","12.45%"
"Nov 20, 2020","49.25","48.36","50.53","47.91","209.11M","1.65%"
"Nov 19, 2020","48.45","45.36","48.90","44.72","233.78M","7.52%"
"Nov 18, 2020","45.06","45.96","46.70","42.51","271.68M","-3.28%"
"Nov 17, 2020","46.59","47.46","49.30","45.04","345.58M","2.22%"
"Nov 16, 2020","45.58","41.11","45.85","41.11","306.21M","2.29%"
"Nov 13, 2020","44.56","51.50","54.17","40.58","579.07M","-7.74%"
"Nov 12, 2020","48.30","44.52","49.29","44.07","348.33M","12.12%"
"Nov 11, 2020","43.08","39.70","43.22","38.66","179.58M","3.68%"
"Nov 10, 2020","41.55","44.50","45.20","38.11","235.54M","-5.61%"
"Nov 09, 2020","44.02","41.65","45.25","40.51","218.73M","5.74%"
"Nov 06, 2020","41.63","41.09","43.30","40.05","288.78M","-1.70%"
"Nov 05, 2020","42.35","38.71","42.46","38.30","302.47M","12.30%"
"Nov 04, 2020","37.71","37.39","39.73","35.85","339.39M","6.23%"
"Nov 03, 2020","35.50","33.57","35.86","32.81","217.61M","6.54%"
"Nov 02, 2020","33.32","33.95","34.94","31.68","265.72M","8.96%"
"Oct 30, 2020","30.58","31.39","31.59","30.03","136.90M","-4.41%"
"Oct 29, 2020","31.99","28.54","32.19","28.41","214.03M","16.28%"
"Oct 28, 2020","27.51","27.91","27.93","26.52","89.37M","-3.27%"
"Oct 27, 2020","28.44","26.27","28.45","26.06","104.26M","9.34%"
